dia,eventos,ips_unicas,sesiones
2026-07-13,6277,212,219
2026-07-14,6738,220,226
2026-07-15,6633,212,217
2026-07-16,5713,192,198
2026-07-17,6259,214,219
2026-07-18,7260,230,233
2026-07-19,6586,219,226
2026-07-20,11260,370,382
2026-07-21,6608,210,213
2026-07-22,6223,205,208
2026-07-23,6337,201,204
2026-07-24,7258,230,235
2026-07-25,5645,195,197
2026-07-26,5891,193,200
2026-07-27,6601,215,222
2026-07-28,7148,232,238
2026-07-29,6398,214,221
2026-07-30,7188,231,234
2026-07-31,10108,321,338
2026-08-01,6863,218,226
2026-08-02,6377,206,208
2026-08-03,6861,222,226
2026-08-04,6838,223,230
2026-08-05,7107,226,235
2026-08-06,6370,206,210
2026-08-07,6943,228,235
2026-08-08,3335,115,116
2026-08-09,7124,228,237
2026-08-10,5684,191,195
2026-08-11,5492,183,186
